,name,category,sub-category,provider,overall,enrolled,about,subtitles,skills,url,topic
28,Getting Started with Essay Writing,Music and Art,Arts and Humanities,"University of California, Irvine",4.7,108031," 81,932 Course 2: Getting Started with Essay Writing

This is the second course in the Academic English: Writing specialization.  By introducing you to three types of academic essays, this course will especially help prepare you for work in college classes, but anyone who wants to improve his or her writing skills can benefit from this course.

After completing this course, you will be able to:
 - create effective thesis statements for your essays
 - plan and write compare/contrast, cause/effect, and argument essays
 - write well-developed body paragraphs

Note: The lectures and practice activities are available for free, but you must upgrade to the pay version in order to take the quizzes and get feedback on writing assignments.","English, Spanish, Arabic",unknown,https://www.coursera.org/learn/getting-started-with-essay-writing,"Language, Arts and Social"
29,Introduction to Classical Music,Music and Art,Arts and Humanities,Yale University,4.9,101901," 127,122 Using a simple and enjoyable teaching style, this course introduces the novice listener to the wonders of classical music, from Bach fugues to Mozart symphonies to Puccini operas.","English, Spanish", Art History Music Chord History,https://www.coursera.org/learn/introclassicalmusic,"Language, Arts and Social"
30,Miracles of Human Language: An Introduction to Linguistics,Music and Art,Language Learning,unknown,4.7,99570," 72,102 Everywhere, every day, everybody uses language. There is no human society, no matter how small or how isolated, which does not employ a language that is rich and diverse. This course introduces you to linguistics, featuring interviews with well-known linguists and with speakers of many different languages. Join us to explore the miracles of human language!

The Miracles of Human Language introduces you to the many-faceted study of languages, which has amazed humans since the beginning of history. Together with speakers of many other languages around the world, as well as with famous linguists such as Noam Chomsky and Adele Goldberg, you will learn to understand and analyse how your native tongue is at the same time similar and different from many other languages. You will learn the basic concepts of linguistics, get to know some of the key features of big and small languages and get insight into what linguists do.

This course gives an introduction into the study of languages, the field of linguistics. With the support of the basic linguistic terminology that is offered in the course, you will soon be able to comment both on variety between languages, as well as on a single language090005s internal structure. Anyone who wishes to understand how languages work, and how they can give us insight into the human mind is very welcome to join.

The course is useful if you want to get a fairly quick introduction into linguistics, for instance because you are considering studying it further, or because you are interested in a neighbouring discipline such as psychology, computer science or anthropology. Furthermore, the course will help you develop analytical skills.

If you are curious to understand how language works and how it gives insight into the human mind, this course is definitely for you!","English, Romanian, Arabic, Bulgarian", Essay Writing History English Language Chinese Language,https://www.coursera.org/learn/human-language,"Language, Arts and Social"
31,Creative Writing: The Craft of Plot,Music and Art,Arts and Humanities,Wesleyan University,4.7,90118," 77,210 In this course aspiring writers will be introduced to perhaps the most elemental and often the most challenging element of story: plot.  We will learn what keeps it moving, how it manipulates our feelings, expectations, and desires.  We will examine the choices storytellers make to snag our imaginations, drag them into a fictional world, and keep them there. We will learn how to outline and structure a plot, discuss narrative arc, pacing and reversals and reveal the inevitable surprise: connecting the beginning, middle and end.","English, French", Short Story Writing Fiction Writing Creativity Copy Editing,https://www.coursera.org/learn/craft-of-plot,"Language, Arts and Social"
32,Design and Make Infographics (Project-Centered Course),Music and Art,Business,Michigan State University,4.7,78438," 30,976 In this project-centered course*, you will create a content-rich infographic on a topic of your choice using Adobe Illustrator (which you can download for a free, 30-day trial). You might choose to create a visual representation of data from the world of sports, entertainment, politics, or science, to explain a business trend or environmental issue, or even to present a theme or development from your personal life. Your finished infographic will engage your target audience and convey information clearly through effective use of design elements such as typography, color, and structure.

Whether you090005re a graphic designer, a writer or the intern in the department, you090005ll learn: 
090004 what an infographic is and what makes a good one
090004 how to work within your limits
090004 how to work with a team (if you have one) 
090004 why infographics are effective 
090004 techniques for spotting data in stories
090004 six valuable steps for planning an effective infographic 
090004 how to use and make some of the building blocks of infographics: maps, charts and flow charts 
090004 ways data can be visualized to clarify it and give it meaning 
090004 how to effectively design a good infographic by effectively using elements like type, color and an underlying grid structure
090004 some free or cheap, online tools for making various kinds of infographics

As you work on your project, you090005ll learn more about why infographics are effective, what makes a good infographic, and how to plan and design an infographic for maximum impact. You090005ll explore various approaches to data visualization, and you090005ll practice creating visualizations like maps, charts, flow charts, and simple drawings in your free version of Adobe Illustrator. Please note that if you are new to learning graphics software, making these graphics could take much longer than estimated as you learn and grow.

What you090005ll need to get started:
This project-based course is aimed at anyone interested in understanding, designing, and using infographics - from students and hobbyists to professional graphic designers. 

We090005ll use Adobe Illustrator for some components of the project. If you don090005t have access to the full version of Illustrator,you can download a free version at www.Adobe.com/Illustrator. If the free 30-day trial runs out, you can ""purchase"" it for a month for about $20.  

*About Project-Centered Courses: Project centered courses are designed specifically to help you complete a personally meaningful real-world project, with your instructor and a community of like-minded learners providing guidance and suggestions along the way. By actively applying new concepts as you learn, you090005ll master the course content more efficiently; you090005ll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you090005ll have a finished project that you090005ll be proud to use and share. When you enroll in certain courses, you090005ll be asked to pay a small fee to share your work with others for peer review.",English, Infographics Illustration Communication Design Graphic Design,https://www.coursera.org/learn/infographic-design,"Language, Arts and Social"
33,Successful Negotiation: Essential Strategies and Skills,Business Essentials,Business,University of Michigan,4.7,551786," 196,543 We all negotiate on a daily basis. On a personal level, we negotiate with friends, family, landlords, car sellers and employers, among others. Negotiation is also the key to business success. No business can survive without profitable contracts. Within a company, negotiation skills can lead to your career advancement. 

I hope that you will join the hundreds of thousands of learners who have made 090008Successful Negotiation090009 one of the most popular and highly-rated MOOCs worldwide.  In the course, you090005ll learn about and practice the four steps to a successful negotiation: 

   (1) Prepare: Plan Your Negotiation Strategy 

   (2) Negotiate: Use Key Tactics for Success 

   (3) Close: Create a Contract 

   (4) Perform and Evaluate: The End Game 

To successfully complete this course and improve your ability to negotiate, you090005ll need to do the following: 

(1) Watch the short videos (ranging from 5 to 20 minutes). The videos are interactive and they include questions to test your understanding of negotiation strategy and skills. You can speed up or slow down videos to match your preferred pace for listening. Depending on your schedule, you can watch the videos over a few weeks or you can binge watch them. A learner who binge-watched the course concluded that 090008It090005s as good as Breaking Bad.090009 Another learner compared the course to 090008House of Cards.090009  Both shows contain interesting examples of complex negotiations!

(2) Test your negotiation skills by completing the negotiation in Module 6. You can negotiate with a local friend or use Discussions to find a partner from another part of the world. Your negotiation partner will give you feedback on your negotiation skills. To assist you with your negotiations, I have developed several free negotiating planning tools that are related to the course.  These tools and a free app are available at http://negotiationplanner.com/ 

(3) Take the final exam. To successfully complete the course, you must answer 80% of the questions correctly. The exam is a Mastery Exam, which means that you can take it as many times as you want until you master the material. 

Course Certificate
You have the option of earning a Course Certificate.  A Certificate provides formal recognition of your achievements in the course and includes the University of Michigan logo.   Learn more about Certificates at: https://learner.coursera.help/hc/en-us/articles/209819053-Get-a-Course-Certificate
 
This course is also available in Spanish and Portuguese. To join the fully translated Spanish version, visit this page: https://www.coursera.org/learn/negociacion/ 

To join the fully translated Portuguese version, visit this page: https://www.coursera.org/learn/negociacao
Subtitles for the videos are available in English, Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Spanish


Created by:  University of Michigan

The course logo composite is shared with a Creative Commons CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0/) license, and was created using images provided courtesy of Flazingo Photos (http://bit.ly/1zOylRm) and K2 Space (https://www.flickr.com/photos/k2space/14257556613/in/set-72157644732478432).","Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Vietnamese, Russian, English, Spanish ... More", Strategic Negotiations Communication Negotiation Decision Tree,https://www.coursera.org/learn/negotiation-skills,Business
34,"Speak English Professionally: In Person, Online & On the Phone",Business Essentials,Language Learning,Georgia Institute of Technology,4.6,303828," 303,835 Do you want to speak better English? This course will help you reach that goal. Speak English Professionally: In person, Online and On the Phone will boost your English speaking skills. In this 5 week course, you will learn how to identify and make a strong personal introduction. You will develop and demonstrate the speaking skills for group discussions: how to agree or disagree, how to clarify, restate and summarize. You will review and practice how to give information and respond to requests on the phone. You will study and role play effective interviewing. You will  prepare and give a sales 090008pitch090009, introducing a product or service. Throughout the course, you will adjust how you speak English and you will become more fluent and accurate when you speak. You will demonstrate  culturally appropriate body language and tone. As you work through the course, you will complete self- and peer-evaluations. Through a combination of lectures, comprehension and vocabulary quizzes, practice and performance, you090005ll gain the skills and confidence to communicate well  in English, anywhere in the world.	

By the end of this course you will:
090004      Change how you speak English
090004	Improve your pronunciation and fluency  
090004       Increase your English vocabulary 
090004	Identify how culture influences your speech
090004	Use culture to help you speak correctly 
090004	Demonstrate the best body language for different cultural settings
090004	Know statements, questions and responses for different settings and situations","Arabic, French, Vietnamese, English, Japanese, Persian ... More", Stress Communication Presentation Public Speaking,https://www.coursera.org/learn/speak-english-professionally,Business
35,Mastering Data Analysis in Excel,Business Essentials,Data Science,Duke University,4.2,260590," 128,508 Important: The focus of this course is on math - specifically, data-analysis concepts and methods - not on Excel for its own sake. We use Excel to do our calculations, and all math formulas are given as Excel Spreadsheets, but we do not attempt to cover Excel Macros, Visual Basic, Pivot Tables, or other intermediate-to-advanced Excel functionality.

This course will prepare you to design and implement realistic predictive models based on data. In the Final Project (module 6) you will assume the role of a business data analyst for a bank, and develop two different predictive models to determine which applicants for credit cards should be accepted and which rejected. Your first model will focus on minimizing default risk, and your second on maximizing bank profits. The two models should demonstrate to you in a practical, hands-on way the idea that your choice of business metric drives your choice of an optimal model.

The second big idea this course seeks to demonstrate is that your data-analysis results cannot and should not aim to eliminate all uncertainty. Your role as a data-analyst is to reduce uncertainty for decision-makers by a financially valuable increment, while quantifying how much uncertainty remains. You will learn to calculate and apply to real-world examples the most important uncertainty measures used in business, including classification error rates, entropy of information, and confidence intervals for linear regression.

All the data you need is provided within the course, all assignments are designed to be done in MS Excel, and you will learn enough Excel to complete all assignments. The course will give you enough practice with Excel to become fluent in its most commonly used business functions, and you090005ll be ready to learn any other Excel functionality you might need in the future (module 1).

The course does not cover Visual Basic or Pivot Tables and you will not need them to complete the assignments. All advanced concepts are demonstrated in individual Excel spreadsheet templates that you can use to answer relevant questions. You will emerge with substantial vocabulary and practical knowledge of how to apply business data analysis methods based on binary classification (module 2), information theory and entropy measures (module 3), and linear regression (module 4 and 5), all using no software tools more complex than Excel.",English, Binary Classification Data Analysis Microsoft Excel Linear Regression,https://www.coursera.org/learn/analytics-excel,Business
36,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",Business Essentials,Business,"University of California, Irvine",4.3,243211," 80,128 You will be able to gain and apply your knowledge and understanding of personal and professional awareness, organization and commitment, and use the tools, methods and techniques that you have learned in goal setting, prioritization, scheduling, and delegation to overcome time management challenges and enhance productivity.

Upon completing this course, you will be able to:
1.       Learn to plan effectively to achieve your personal and professional goals
2.       Learn to recognize and overcome barriers to successful time management
3.       Identify specific time management tools and use them effectively
4.       Manage resources both effectively and efficiently
5.       Keep your sense of perspective to prevent and manage crises
6.       Learn to delegate effectively
7.       Learn to manage expectations and say 090008No090009 when appropriate","Arabic, Ukrainian, Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Dutch, Bulgarian, Korean, German, Russian, English, Spanish, Hindi, Japanese ... More", Task Management Management Planning Plan,https://www.coursera.org/learn/work-smarter-not-harder,Business
37,Introduction to Financial Accounting,Business Essentials,Business,University of Pennsylvania,4.7,164952," 160,495 Master the technical skills needed to analyze financial statements and disclosures for use in financial analysis, and learn how accounting standards and managerial incentives affect the financial reporting process. By the end of this course, you090005ll be able to read the three most common financial statements: the income statement, balance sheet, and statement of cash flows. Then you can apply these skills to a real-world business challenge as part of the Wharton Business Foundations Specialization.","English, Japanese, Chinese (Simplified)", Financial Accounting Accounting Financial Statement Balance Sheet,https://www.coursera.org/learn/wharton-accounting,Business
38,Write Professional Emails in English,Business Essentials,Language Learning,Georgia Institute of Technology,4.7,155498," 192,079 This is a course to help you write effective business emails in English. This course is unique because each module will provide tips on writing more professional emails as well as lessons to improve your overall English writing skills. Therefore, you will improve your grammar and vocabulary skills for email writing and also improve your cross cultural knowledge to make you more powerful and successful in your business communication. You will look at different email formats to analyze tone, formality levels, and various organizational styles. You will be able to improve your emails of introduction, announcements, requests and emails that apologize or revise a request. In this course you will write and revise 40900095 emails, complete several comprehension quizzes and review the emails of other participants.  

By the end of this course, you will be able to 
090004	Improve your overall written English skills
090004	See differences and similarities among the different email formats 
090004	Write more effective subject lines and email text
090004	Apply various key language to different types of emails
090004	Correct common errors such as punctuation and capitalization
090004	Study tone and level of formality in emails 
090004	Understand how culture affects what is appropriate in a business emails 
090004	Write powerful business emails for professional needs","Arabic, French, Chinese (Simplified), English, Slovak, Japanese, Persian ... More", Professional Email Writing Communication Writing,https://www.coursera.org/learn/professional-emails-english,Business
39,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Business Essentials,Business,Yale University,4.8,126615," 124,944 This course will help you be a better negotiator. Unlike many negotiation courses, we develop a framework for analyzing and shaping negotiations. This framework will allow you to make principled arguments that persuade others. It will allow you to see beneath the surface of apparent conflicts to uncover the underlying interests. You will leave the course better able to predict, interpret, and shape the behavior of those you face in competitive situations.

In this course, you will have several opportunities to negotiate with other students using case studies based on common situations in business and in life. You can get feedback on your performance and compare what you did to how others approached the same scenario. The cases also provide a setting to discuss a wide-ranging set of topics including preparing for a negotiation, making ultimatums, avoiding regret, expanding the pie, and dealing with someone who has a very different perspective on the world. Advanced topics include negotiating when you have no power, negotiating over email, and the role of gender differences in negotiation. To close out the course, we will hear insights from three negotiation experts: Linda Babcock, Herb Cohen, and John McCall MacBain. Enjoy.","English, Arabic", Game Theory Negotiation Collaboration Principled Negotiation,https://www.coursera.org/learn/negotiation,Business
40,Gesti0106n Empresarial Exitosa para Pymes,Business Essentials,Business,Pontificia Universidad Cat0106lica de Chile,4.8,123768," 65,713 Este curso tiene como objetivo fortalecer las capacidades de gesti0106n de peque01±os y medianos empresarios, y personas interesadas en emprender. El Programa Pyme de la Pontificia Universidad Cat0106lica de Chile te invita a profundizar sobre lo que se requiere para ser un empresario exitoso y a aprender buenas pr0103cticas en direcci0106n de empresas que permitan crear valor al cliente, a trav0108s del marketing y herramientas comerciales.  Te ayudar0103 tambi0108n a comprender las principales decisiones financieras que enfrenta la empresa, la contabilidad y su utilidad para la gesti0106n y control del negocio; asimismo, conocer0103s las claves para seleccionar y dirigir personas y equipos, procurando su mayor productividad y desarrollo humano integral.
 
El dise01±o de este curso est0103 basado en la experiencia del Programa Pyme UC, que ayuda a empresarios a hacer m0103s competitivas sus empresas, con Mentores ex alumnos con amplia experiencia en negocios y Cursos dictados por Profesores de la Escuela de Administraci0106n UC. M0103s informaci0106n en www.pyme.uc.cl.",Spanish Subtitles: Spanish, Persona (User Experience) Management Finance Marketing,https://www.coursera.org/learn/gestionempresarialpyme,Business
41,Influencing People,Business Essentials,Business,University of Michigan,4.7,112225," 64,478 This course will improve your ability to influence people in situations where you cannot use formal authority. You will learn about effective ways to build, develop, and sustain a power base in your organization. You will also learn influence tactics that enable you to be more persuasive and influential in working with your superiors, peers, and even subordinates. In addition, you will learn how to build and maintain high-quality relationships to further maximize your informal power and ability to influence others. Importantly, you will distinguish between influence and manipulation and learn how to protect yourself from the unwanted influence of others.

The influence strategies you learn in this course will make you a more confident and influential leader, presenter, and decision-maker. You will more effective in pitching business ideas to your superiors, influencing customers, and building coalitions across stakeholders. This course will not only give you strategic guidance on how to develop and maintain your network for influence and power, but we will also equip you with specific tactics and strategies that are proven to work for gaining power and influencing people.","English, Vietnamese, Arabic", Leadership Management Social Skills Influencer Marketing,https://www.coursera.org/learn/influencing-people,Business
42,Marketing in a Digital World,Marketing,Business,University of Illinois at Urbana-Champaign,4.7,235004," 251,345 This course examines how digital tools, such as the Internet, smartphones, and 3D printing, are revolutionizing the world of marketing by shifting the balance of power from firms to consumers. Marketing in a Digital World is one of the most popular courses on Coursera with over 150,000 Learners and is rated by Class Central as one of the Top 50 MOOCs of All Time (https://www.class-central.com/report/top-moocs/).

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.","Arabic, Serbian, Chinese (Simplified), Portuguese (Brazilian), Vietnamese, Turkish, English, Spanish ... More", Marketing Digital Marketing Marketing Mix Pricing Strategies,https://www.coursera.org/learn/marketing-digital,Business
43,Introduction to Marketing,Marketing,Business,University of Pennsylvania,4.7,169457," 149,972 Taught by three of Wharton's top faculty in the marketing department, consistently ranked as the #1 marketing department in the world, this course covers three core topics in customer loyalty: branding, customer centricity, and practical, go-to-market strategies.

You090005ll learn key principles in

- Branding: brand equity is one of the key elements of keeping customers in a dynamic world in which new startups are emerging constantly. 
- Customer centricity: not synonymous with customer service, customer centricity starts with customer focus and need-gathering. 
- Go-to-market strategies: understand the drivers that influence customers and see how these are implemented prior to making an investment. 

Complete this course as part of Wharton's Business Foundations Specialization, and you'll have the opportunity to take the Capstone Project and prepare a strategic analysis and proposed solution to a real business challenge from Wharton-governed companies like Shazam and SnapDeal or to a challenge faced by your own company or organization. Wharton-trained staff will evaluate the top submissions, and leadership teams at Shazam and SnapDeal will review the highest scoring projects prepared for their companies.","Ukrainian, Chinese (Simplified), Vietnamese, Turkish, English, Japanese ... More", Positioning (Marketing) Marketing Marketing Strategy Customer Satisfaction,https://www.coursera.org/learn/wharton-marketing,Business
44,Gamification,Marketing,Computer Science,University of Pennsylvania,4.8,90270," 52,555 Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively. For additional information on the concepts described in the course, you can purchase Professor Werbach's book For the Win: How Game Thinking Can Revolutionize Your Business in print or ebook format in several languages.","Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Vietnamese, Russian, Turkish, English, Spanish, Kazakh ... More", Psychology Marketing Game Design Gamification,https://www.coursera.org/learn/gamification,Business
45,Viral Marketing and How to Craft Contagious Content,Marketing,Business,University of Pennsylvania,4.7,84886," 37,952 Ever wondered why some things become popular, and other don't? Why some products become hits while others flop?  Why some ideas take off while others languish? What are the key ideas behind viral marketing? This course explains how things catch on and helps you apply these ideas to be more effective at marketing your ideas, brands, or products. You'll learn how to make ideas stick, how to increase your influence, how to generate more word of mouth, and how to use the power of social networks to spread information and influence. Drawing on principles from his best-selling book, ""Contagious: Why Things Catch On,"" Professor Jonah Berger illustrates successful strategies for you to use buzz to create virality so that your campaigns become more shareable on social media and elsewhere. By the end of this course, you'll have a better understanding of how to craft contagious content, build stickier messages, and get  any product, idea, or behavior to catch on.",English, Social Network Viral Marketing Marketing Marketing Strategy,https://www.coursera.org/learn/wharton-contagious-viral-marketing,Business
46,Introduction to Personal Branding,Marketing,Personal Development,University of Virginia,4.3,80096," 29,140 Though the concept of personal branding isn't new, questions remain about how to create one and, more importantly, what it means to maintain and inhabit that brand. 

Learners will:

o	Understand both what personal branding means and what it means to inhabit their brand
o	Establish themselves on at least three social media platforms 
o	Create a mission statement for their personal brand
o	Build a board of directors for their brand
o	Become familiar with the basics of digital security and reputation management
o	Create a system for on-going brand maintenance 

Join instructor Kimberley R. Barker as she provides a warm, supportive atmosphere in which learners are encouraged to intensively explore themselves in order to create a personal brand that authentically and effectively communicates their values and professional gifts. Together we will build a strong community in which to provide encouragement and feedback, and support each other as learners pursue their goal of successful brand creation.","English, Persian", Personal Branding Social Media Management Brand Management,https://www.coursera.org/learn/personal-branding,Business
47,What is Social?,Marketing,Business,Northwestern University,4.6,74311," 68,408 The 090008What Is Social?"" MOOC is for business owners, executives, and marketing professionals who want to significantly improve their abilities to grow their social strategy using effective, proven methodologies. This hands on, ""how to"" program won090005t just tell you how to grow your professional persona using social 090009 you will actually do it! This course is the first in the six-course specialization, Social Media Marketing: How to Profit in a Digital World. 

While the course can be audited for free, paid learners will receive additional content beyond the course basics. For MOOC 1, the toolkit includes a special video from Alessandro Acquisti on Big Data and a set of studies done by IBM on engagement and social marketing strategies with bottom-line profits. 

This course has been designed to give you the tools, insights, knowledge, and skills to immediately impact your organization. In addition, we will help you network with thought leaders in social.  After completing this course, you and your organization090005s staff will be able to position, engage, and grow relationships with the consumers of highest value to you.

Today, we are living in a period of massive disruption. New technologies are changing the way people engage with each other and with the organizations that interest them. This course will start you on the path to growing your own social strategy using effective, proven methodologies.

Additional MOOC 1 faculty include: 
* Judy Ungar Franks (President, The Marketing Democracy, Ltd. & Lecturer, Medill Integrated Marketing Communications, Northwestern)","English, Arabic, Japanese", Social Marketing Social Network Social Media Marketing Social Media,https://www.coursera.org/learn/what-is-social,Business
48,Introduction to Search Engine Optimization,Marketing,Business,"University of California, Davis",4.6,67380," 73,572 Ever wonder how major search engines such as Google, Bing and Yahoo rank your website within their searches? Or how content such as videos or local listings are shown and ranked based on what the search engine considers most relevant to users? Welcome to the world of Search Engine Optimization (SEO). This course is the first within the SEO Specialization and it is intended to give you a taste of SEO. 

You will be introduced to the foundational elements of how search engines work, how the SEO landscape has changed and what you can expect in the future. You discuss core SEO strategies and tactics used to drive more organic search results to a specific website or set of websites, as well as tactics to avoid to prevent penalization from search engines. You will also discover how to position yourself for a successful career in SEO should this subject prove interesting to you. We hope this taste of SEO, will entice you to continue through the Specialization.","English, Greek, Arabic", Search Algorithm Search Engine Optimization (SEO) Mathematical Optimization Semantics,https://www.coursera.org/learn/search-engine-optimization,Business
49,Digital Analytics for Marketing Professionals: Marketing Analytics in Theory,Marketing,Business,University of Illinois at Urbana-Champaign,4.5,62646," 72,035 Learn the introductory theory and strategy behind marketing analytics that provides marketers with the foundation needed to apply data analytics to real-world challenges they confront daily in their professional lives.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",English, Analytics Digital Marketing Marketing Analytics Marketing Performance Measurement And Management,https://www.coursera.org/learn/marketing-analytics,Business
50,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,Marketing,Business,University of Illinois at Urbana-Champaign,4.5,62364," 73,782 This course builds on the theory and foundations of marketing analytics and focuses on practical application by demystifying the use of data in marketing and helping you realize the power of visualizing data with artful use of numbers found in the digital space.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",English, Data Analysis Data Visualization (DataViz) Marketing Analytics Marketing Performance Measurement And Management,https://www.coursera.org/learn/digital-analytics,Business
51,Marketing Verde,Marketing,Business,Universidad de los Andes,4.8,45127," 23,583 Al finalizar este curso ser0103s capaz de dise01±ar y ejecutar campa01±as para productos, servicios o iniciativas relacionadas con alg0102n tema ambiental, as0102 como tambi0108n de crear propuestas de valor para cualquier producto o servicio con criterios de sostenibilidad ambiental, es decir, generando el mayor valor para la marca y el menor impacto posible en el entorno. 

El curso de Marketing Verde te ofrece la oportunidad de tener mayores elementos de competitividad en tu gesti0106n profesional, ya que es un espacio en el que ser0103s capaz de definir c0106mo el tema ambiental puede ser un valor agregado que puedes vincular al direccionamiento estrat0108gico y creativo de las marcas. Si eres un profesional que se desempe01±a en el 0103rea de mercadeo o un estudiante que tiene inquietud por el tema y pronto iniciar0103s tu vida laboral en el campo, Marketing Verde te dar0103 herramientas para desarrollar tus habilidades creativas, de planeaci0106n y ejecuci0106n llevando los conceptos del marketing verde a la pr0103ctica en el dise01±o de estrategias y actividades empresariales. Empod0108rate para desarrollar una gesti0106n de mercadeo m0103s responsable y con criterios de sostenibilidad. 

Para tomar el curso de Marketing Verde debes contar con unos conocimientos b0103sicos de mercadeo que garantizar0103n que puedas desarrollar y culminar este curso con 0108xito. Para saber si est0103s listo, te invito a tomar el examen de diagn0106stico que plantea 10 preguntas muy sencillas de conceptos b0103sicos de mercadeo; tambi0108n, te ofrezco un material de apoyo sobre Fundamentos de Mercadeo que puedes consultar para repasar los conceptos b0103sicos en caso de que lo necesites.

De lo general a lo particular, el curso de Marketing Verde abordar0103 conceptos asociados a la realidad ambiental y su relaci0106n con la gesti0106n empresarial, la planeaci0106n estrat0108gica para productos y servicios verdes, el an0103lisis del consumidor y su relaci0106n con el tema ambiental y las principales decisiones de mercadeo (segmentaci0106n, targeting, posicionamiento y marketing mix) vinculando el atributo ambiental.",Spanish Subtitles: Spanish, Gesti0106n sostenible Planeaci0106n para la ejecuci0106n Valor agregado en lo ambiental Campa01±as creativas y sostenibles,https://www.coursera.org/learn/marketing-verde,Business
52,Gesti0106n Empresarial Exitosa para Pymes,Entrepreneurship,Business,Pontificia Universidad Cat0106lica de Chile,4.8,123768," 65,713 Este curso tiene como objetivo fortalecer las capacidades de gesti0106n de peque01±os y medianos empresarios, y personas interesadas en emprender. El Programa Pyme de la Pontificia Universidad Cat0106lica de Chile te invita a profundizar sobre lo que se requiere para ser un empresario exitoso y a aprender buenas pr0103cticas en direcci0106n de empresas que permitan crear valor al cliente, a trav0108s del marketing y herramientas comerciales.  Te ayudar0103 tambi0108n a comprender las principales decisiones financieras que enfrenta la empresa, la contabilidad y su utilidad para la gesti0106n y control del negocio; asimismo, conocer0103s las claves para seleccionar y dirigir personas y equipos, procurando su mayor productividad y desarrollo humano integral.
 
El dise01±o de este curso est0103 basado en la experiencia del Programa Pyme UC, que ayuda a empresarios a hacer m0103s competitivas sus empresas, con Mentores ex alumnos con amplia experiencia en negocios y Cursos dictados por Profesores de la Escuela de Administraci0106n UC. M0103s informaci0106n en www.pyme.uc.cl.",Spanish Subtitles: Spanish, Persona (User Experience) Management Finance Marketing,https://www.coursera.org/learn/gestionempresarialpyme,Business
53,How To Create a Website in a Weekend! (Project-Centered Course),Entrepreneurship,Computer Science,The State University of New York,3.4,116762," 32,691 What you090005ll achieve:

In this project-centered course*, you090005ll design, build, and publish a basic website that incorporates text, sound, images, hyperlinks, plug-ins, and social media interactivity. We090005ll provide you with step-by-step instructions, exercises, tips, and tools that enable you to set up a domain name, create an attractive layout for your pages, organize your content properly, ensure that your site functions well across different operating systems and on mobile devices, keep your site safe, and finally, let people know your site is online. We090005ll even show you how to track your visitors. Throughout the course, you'll engage in collaboration and discussion with other learners through course forums and peer review.

Once you complete your first website project using Wordpress, you can move on to our optional, extended module that covers more advanced techniques such as using a simple text editor, coding in HTML, CSS, and Javascript, and more.

What you090005ll need to get started:

This project-centered course is designed for learners who have little or no prior experience developing a web site. You will need a computer with a stable Internet connection. We090005ll use Wordpress to get you started, provide lots of downloadable examples, and guide you through the process of giving and receiving constructive peer-to-peer feedback.

*About Project-Centered Courses: Project-centered courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, you090005ll master the course content more efficiently; you090005ll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you090005ll have a finished project that you090005ll be proud to use and share.","English, Greek, Spanish", Web Design Websites Wordpress Web Development,https://www.coursera.org/learn/how-to-create-a-website,Business
54,Essentials of Entrepreneurship: Thinking & Action,Entrepreneurship,Business,"University of California, Irvine",4.4,61887," 12,011 Success in business can be greatly enhanced with an understanding of key entrepreneurial characteristics and competencies solutions.  This interactive course provides potential entrepreneurs with the knowledge of succeeding in an entrepreneurial opportunity.  Topics include: how creativity, opportunity and feasibility are best evaluated; business strategies for new businesses; importance of a business plan; achieving success in a new business.  At the end of the course students will have the skills and confidence to evaluate starting a business, in addition to becoming more enterprising in how they approach their roles should they decide to work in organizations.

Upon completing this course, you will be able to:
1.       Learn about the many faces of and contexts for entrepreneurship
2.       Learn about the entrepreneurial process and how to manage it
3.       Learn about what it takes to be an entrepreneur and your own potential to be one
4.       Learn to recognize opportunities to generate and assess your own business idea
5.       Explain the business planning process
6.       Apply entrepreneurial approaches, concepts and methods to your own business idea
7.       Learn about the operational issues in developing new business ventures","Arabic, Vietnamese, German, English, Spanish", Strategic Management Management Marketing Entrepreneurship,https://www.coursera.org/learn/entrepreneurial-thinking,Business
